Employee_ID,Project_ID,Entry_Date,Hours_Worked
154,14,2025-06-26,11
154,11,2025-06-23,5
154,9,2025-06-23,7
155,13,2025-06-23,7
156,8,2025-06-24,10
157,15,2025-06-24,0
158,1,2025-06-27,8
158,8,2025-06-23,4
158,6,2025-06-25,1
159,13,2025-06-24,10
159,9,2025-06-25,11
159,14,2025-06-25,8
159,7,2025-06-26,11
159,1,2025-06-25,2
160,8,2025-06-24,2
161,15,2025-06-23,1
161,14,2025-06-25,8
161,15,2025-06-27,10
162,8,2025-06-24,5
162,2,2025-06-23,10
162,7,2025-06-26,1
162,7,2025-06-25,10
162,15,2025-06-27,12
163,6,2025-06-25,11
163,12,2025-06-27,10
163,10,2025-06-24,9
163,7,2025-06-27,12
164,12,2025-06-23,8
165,9,2025-06-27,10
166,13,2025-06-25,12
166,6,2025-06-24,6
167,7,2025-06-24,0
168,15,2025-06-24,6
168,12,2025-06-25,7
169,8,2025-06-26,7
169,8,2025-06-25,7
169,15,2025-06-27,11
170,8,2025-06-23,9
171,2,2025-06-27,1
171,14,2025-06-27,3
171,10,2025-06-24,12
171,4,2025-06-27,3
171,1,2025-06-26,4
172,14,2025-06-27,8
172,8,2025-06-25,5
172,7,2025-06-26,9
172,1,2025-06-24,10
173,14,2025-06-25,0
173,6,2025-06-25,8
174,5,2025-06-24,10
174,12,2025-06-23,7
174,9,2025-06-24,4
174,4,2025-06-23,0
175,7,2025-06-26,11
176,5,2025-06-25,3
176,10,2025-06-26,7
176,11,2025-06-23,11
177,11,2025-06-27,7
178,15,2025-06-27,10
178,4,2025-06-27,3
178,4,2025-06-24,4
178,1,2025-06-25,9
179,9,2025-06-25,3
179,13,2025-06-25,4
179,5,2025-06-26,9
179,13,2025-06-25,5
179,6,2025-06-26,0
180,8,2025-06-23,4
180,5,2025-06-25,9
180,10,2025-06-25,0
181,6,2025-06-27,12
181,10,2025-06-27,9
182,11,2025-06-25,9
183,15,2025-06-24,4
184,7,2025-06-25,12
184,15,2025-06-24,2
184,8,2025-06-26,6
184,6,2025-06-23,1
184,11,2025-06-24,5
185,12,2025-06-24,2
185,12,2025-06-26,4
186,12,2025-06-25,4
187,10,2025-06-25,5
188,3,2025-06-23,6
188,11,2025-06-23,0
189,11,2025-06-26,9
189,7,2025-06-23,9
190,7,2025-06-25,7
190,9,2025-06-23,2
190,8,2025-06-27,10
191,10,2025-06-25,4
191,7,2025-06-23,1
191,15,2025-06-27,7
191,6,2025-06-24,8
191,7,2025-06-27,1
192,9,2025-06-23,2
192,12,2025-06-27,2
192,3,2025-06-23,11
193,8,2025-06-23,9
193,2,2025-06-24,3
193,14,2025-06-26,7
193,13,2025-06-24,5
193,11,2025-06-24,6
194,13,2025-06-24,3
195,4,2025-06-23,12
196,1,2025-06-23,5
196,8,2025-06-25,3
196,7,2025-06-24,1
197,14,2025-06-26,0
197,15,2025-06-23,11
197,8,2025-06-23,5
197,4,2025-06-27,3
198,7,2025-06-23,9
198,2,2025-06-26,7
198,8,2025-06-27,2
198,10,2025-06-27,11
198,3,2025-06-25,0
199,8,2025-06-24,6
200,11,2025-06-27,9
200,13,2025-06-24,0
200,7,2025-06-23,9
200,5,2025-06-26,5
200,15,2025-06-23,9
201,12,2025-06-24,6
201,7,2025-06-26,11
202,14,2025-06-25,4
202,2,2025-06-26,2
203,3,2025-06-26,7
204,12,2025-06-25,6
204,8,2025-06-27,7
204,15,2025-06-24,9
204,8,2025-06-26,5
204,14,2025-06-27,5
205,9,2025-06-23,3
205,2,2025-06-26,9
205,14,2025-06-26,1
205,2,2025-06-23,6
205,8,2025-06-23,4
206,14,2025-06-23,11
206,1,2025-06-24,3
206,11,2025-06-23,11
206,14,2025-06-24,3
207,6,2025-06-23,1
207,9,2025-06-23,6
207,3,2025-06-25,9
207,3,2025-06-23,10
207,6,2025-06-24,11
208,14,2025-06-26,2
208,8,2025-06-23,2
208,15,2025-06-27,7
208,6,2025-06-26,6
208,5,2025-06-27,5
209,4,2025-06-23,2
210,4,2025-06-25,6
210,7,2025-06-23,11
210,12,2025-06-26,2
211,10,2025-06-26,5
211,7,2025-06-25,10
212,13,2025-06-27,12
213,13,2025-06-26,3
213,1,2025-06-26,10
213,4,2025-06-25,11
213,6,2025-06-26,10
213,7,2025-06-25,9
214,1,2025-06-25,11
214,1,2025-06-25,6
214,14,2025-06-23,4
214,2,2025-06-27,1
215,15,2025-06-26,8
215,14,2025-06-25,1
215,14,2025-06-23,4
215,15,2025-06-24,12
216,7,2025-06-26,10
216,8,2025-06-24,10
216,6,2025-06-24,10
217,8,2025-06-26,6
217,1,2025-06-25,11
217,10,2025-06-25,4
217,2,2025-06-24,8
217,3,2025-06-24,8
218,8,2025-06-23,8
218,4,2025-06-27,11
219,14,2025-06-25,11
220,2,2025-06-26,5
220,2,2025-06-24,12
220,11,2025-06-25,8
221,6,2025-06-26,2
221,14,2025-06-23,10
221,9,2025-06-24,10
222,6,2025-06-27,7
222,6,2025-06-27,10
222,7,2025-06-27,4
222,8,2025-06-26,2
222,3,2025-06-24,1
223,4,2025-06-23,9
223,11,2025-06-26,10
223,13,2025-06-25,4
223,1,2025-06-27,3
224,4,2025-06-27,5
224,7,2025-06-25,9
224,12,2025-06-24,0
225,13,2025-06-25,10
225,2,2025-06-25,3
225,13,2025-06-26,8
225,2,2025-06-26,9
226,3,2025-06-24,6
226,5,2025-06-23,3
226,1,2025-06-26,6
226,13,2025-06-24,1
226,11,2025-06-26,4
227,7,2025-06-27,6
227,3,2025-06-24,12
228,9,2025-06-25,7
228,1,2025-06-25,12
228,15,2025-06-26,2
228,15,2025-06-23,9
228,12,2025-06-24,11
229,6,2025-06-27,1
230,2,2025-06-23,5
230,7,2025-06-24,9
230,3,2025-06-25,8
230,11,2025-06-26,0
230,14,2025-06-25,11
231,15,2025-06-23,12
231,10,2025-06-25,8
231,2,2025-06-26,9
232,7,2025-06-26,6
232,4,2025-06-26,11
232,5,2025-06-23,9
232,12,2025-06-23,11
233,9,2025-06-25,9
233,9,2025-06-27,3
233,14,2025-06-27,9
233,3,2025-06-25,9
233,12,2025-06-23,1
234,15,2025-06-26,2
234,15,2025-06-24,9
234,15,2025-06-26,10
234,2,2025-06-25,7
234,2,2025-06-25,4
235,10,2025-06-26,7
236,8,2025-06-25,12
236,9,2025-06-25,6
236,4,2025-06-27,12
237,11,2025-06-27,11
238,9,2025-06-26,8
238,5,2025-06-25,4
238,6,2025-06-25,8
238,13,2025-06-25,11
238,15,2025-06-26,4
239,12,2025-06-26,11
239,4,2025-06-26,4
240,15,2025-06-26,3
240,12,2025-06-23,11
240,9,2025-06-26,2
241,5,2025-06-27,7
241,2,2025-06-23,12
241,1,2025-06-23,2
241,3,2025-06-24,4
241,1,2025-06-25,5
242,1,2025-06-24,1
242,1,2025-06-23,2
242,2,2025-06-27,3
242,9,2025-06-23,9
243,8,2025-06-26,7
243,11,2025-06-27,5
243,1,2025-06-27,5
243,6,2025-06-27,8
244,14,2025-06-23,5
244,8,2025-06-25,6
244,2,2025-06-26,9
245,1,2025-06-27,9
245,6,2025-06-25,9
246,14,2025-06-23,3
247,3,2025-06-24,11
247,8,2025-06-23,7
247,2,2025-06-25,4
247,1,2025-06-25,9
248,3,2025-06-26,1
248,4,2025-06-23,1
249,10,2025-06-27,0
250,12,2025-06-23,4
251,6,2025-06-27,4
251,7,2025-06-26,10
252,7,2025-06-24,6
253,5,2025-06-23,1
254,9,2025-06-26,2
254,9,2025-06-25,8
255,5,2025-06-25,7
255,11,2025-06-23,12
255,1,2025-06-27,9
255,12,2025-06-24,12
256,10,2025-06-27,0
256,9,2025-06-26,7
256,10,2025-06-27,6
257,7,2025-06-26,3
258,7,2025-06-24,0
258,12,2025-06-24,3
259,1,2025-06-25,4
259,1,2025-06-24,7
259,13,2025-06-27,6
259,8,2025-06-27,0
260,4,2025-06-26,6
260,1,2025-06-25,5
260,11,2025-06-25,8
260,6,2025-06-23,0
260,6,2025-06-24,5
261,14,2025-06-23,7
262,7,2025-06-27,0
263,2,2025-06-25,9
264,8,2025-06-25,7
265,11,2025-06-23,1
266,3,2025-06-25,7
267,7,2025-06-26,7
268,15,2025-06-27,12
268,14,2025-06-26,1
268,13,2025-06-27,7
269,14,2025-06-25,5
270,8,2025-06-25,2
270,13,2025-06-23,3
270,2,2025-06-23,9
270,12,2025-06-24,3
270,3,2025-06-23,6
271,1,2025-06-25,4
271,5,2025-06-25,0
271,8,2025-06-25,10
271,11,2025-06-25,9
271,8,2025-06-24,11
272,8,2025-06-26,7
272,3,2025-06-23,2
272,15,2025-06-26,3
273,4,2025-06-23,9
273,6,2025-06-23,8
273,13,2025-06-26,0
274,1,2025-06-25,12
274,7,2025-06-23,9
274,3,2025-06-25,8
274,13,2025-06-23,11
274,7,2025-06-26,1
275,7,2025-06-27,8
275,7,2025-06-24,7
275,6,2025-06-25,0
276,2,2025-06-26,10
277,11,2025-06-23,11
277,3,2025-06-27,2
277,14,2025-06-27,1
278,9,2025-06-25,7
279,5,2025-06-26,2
279,15,2025-06-27,9
279,3,2025-06-23,11
280,4,2025-06-23,10
280,11,2025-06-27,8
280,3,2025-06-23,8
280,13,2025-06-26,7
281,5,2025-06-25,3
281,5,2025-06-26,5
282,8,2025-06-25,6
283,5,2025-06-25,6
284,14,2025-06-24,9
285,7,2025-06-26,1
285,4,2025-06-26,4
285,15,2025-06-26,6
286,2,2025-06-24,11
286,8,2025-06-26,0
287,14,2025-06-23,11
287,12,2025-06-23,7
287,15,2025-06-23,9
287,3,2025-06-27,0
287,14,2025-06-23,1
288,6,2025-06-24,5
288,4,2025-06-23,8
288,4,2025-06-25,3
288,6,2025-06-23,3
289,10,2025-06-23,3
289,15,2025-06-25,4
289,3,2025-06-24,6
289,13,2025-06-23,1
289,10,2025-06-23,6
290,5,2025-06-27,6
290,6,2025-06-27,12
290,7,2025-06-26,3
290,6,2025-06-24,9
291,3,2025-06-24,0
292,15,2025-06-24,1
292,8,2025-06-23,4
292,2,2025-06-27,2
292,3,2025-06-24,7
293,11,2025-06-26,0
294,15,2025-06-23,8
294,1,2025-06-27,0
294,11,2025-06-26,11
294,7,2025-06-23,11
295,14,2025-06-24,5
296,13,2025-06-24,2
296,6,2025-06-23,2
296,6,2025-06-24,2
297,4,2025-06-25,10
297,11,2025-06-24,4
297,14,2025-06-23,5
297,7,2025-06-26,12
298,8,2025-06-24,9
298,11,2025-06-23,0
298,2,2025-06-25,3
298,12,2025-06-27,10
298,8,2025-06-26,2
299,4,2025-06-23,7
299,6,2025-06-27,11
299,4,2025-06-25,0
299,10,2025-06-26,8
299,2,2025-06-25,10
300,14,2025-06-23,12
301,6,2025-06-25,6
301,15,2025-06-27,8
302,14,2025-06-25,12
302,11,2025-06-27,6
302,2,2025-06-24,10
302,5,2025-06-27,3
302,1,2025-06-26,3
303,2,2025-06-27,12
303,7,2025-06-23,11
303,4,2025-06-24,3
303,14,2025-06-23,8
303,2,2025-06-27,1
304,9,2025-06-23,10
305,1,2025-06-24,10
305,10,2025-06-24,9
305,8,2025-06-26,0
305,6,2025-06-27,10
306,1,2025-06-23,4
307,12,2025-06-23,1
307,11,2025-06-24,7
307,11,2025-06-23,4
308,15,2025-06-23,10
308,15,2025-06-27,8
308,7,2025-06-27,2
308,5,2025-06-23,7
309,8,2025-06-23,2
309,2,2025-06-27,4
309,9,2025-06-27,5
309,9,2025-06-25,5
309,11,2025-06-27,11
310,14,2025-06-26,11
310,11,2025-06-26,12
310,5,2025-06-26,1
311,1,2025-06-27,4
311,13,2025-06-26,5
311,11,2025-06-27,2
312,10,2025-06-26,8
312,10,2025-06-23,3
312,1,2025-06-25,8
313,1,2025-06-23,12
313,13,2025-06-24,1
314,10,2025-06-23,7
314,10,2025-06-27,10
315,7,2025-06-25,6
315,4,2025-06-23,5
315,11,2025-06-25,10
315,14,2025-06-24,7
315,3,2025-06-26,7
316,5,2025-06-23,11
317,15,2025-06-26,3
317,2,2025-06-25,3
317,6,2025-06-24,12
317,14,2025-06-25,5
317,15,2025-06-23,4
318,1,2025-06-27,8
318,10,2025-06-27,11
319,5,2025-06-27,3
319,4,2025-06-24,12
319,7,2025-06-23,12
320,11,2025-06-26,3
320,13,2025-06-23,1
320,13,2025-06-23,5
320,4,2025-06-23,3
320,2,2025-06-24,6
321,6,2025-06-23,1
321,8,2025-06-27,9
321,5,2025-06-23,12
322,2,2025-06-23,9
322,10,2025-06-27,7
322,15,2025-06-23,8
322,2,2025-06-24,3
322,9,2025-06-23,7
323,10,2025-06-26,10
323,12,2025-06-25,11
323,7,2025-06-26,7
323,9,2025-06-23,12
323,2,2025-06-26,3
324,13,2025-06-24,8
324,10,2025-06-24,3
325,11,2025-06-25,0
325,7,2025-06-27,1
325,5,2025-06-26,10
326,8,2025-06-23,7
326,2,2025-06-25,8
326,3,2025-06-26,10
326,1,2025-06-25,3
327,8,2025-06-27,10
328,1,2025-06-24,10
328,3,2025-06-26,5
328,4,2025-06-27,12
328,12,2025-06-24,12
328,5,2025-06-26,4
184,1,2025-03-05,3
184,1,2025-03-06,1
184,1,2025-03-07,2
184,1,2025-03-08,3
234,2,2024-09-11,4
299,4,2024-09-21,3
299,4,2024-09-22,3
